item_code,item,unit_number,date,cost
,"Capri Sun Variety Pack 6 fl. oz. pouches, 40 pk. Qty 1 $",1,2025-10-11,10.48
,"Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct. Qty 1 $",1,2025-10-11,10.98
,"Healthy Choice Soup Variety Pack, 15 oz., 10 pk. Qty 1 $",1,2025-10-11,11.48
,Keurig K-Supreme Single Serve K-Cup Pod Coffee Maker Qty 1 $,1,2025-10-11,129.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 2 $",1,2025-10-11,35.96
,"Red Bull Energy 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-11,34.98
,"Monster Energy Zero Ultra 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-11,38.98
,"Nissin Hot and Spicy Ramen Noodle Soup Bowl, Chicken Flavor, 3.32 oz., 12 Qty 1 $",1,2025-10-11,11.98
,"Nongshim Shin Ramyun Spicy Beef Ramen Noodle Soup 4.02 oz., 12 ct. Qty 2 $",1,2025-10-11,37.48
,"Samyang Buldak Carbonara Spicy Chicken Ramen Bowl, 3.7 oz., 6 pk. Qty 3 $",1,2025-10-11,35.94
,"Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct. Qty 1 $",1,2025-10-11,10.98
,"Frito-Lay Variety Pack Chips, 30 pk. Qty 1 $",1,2025-10-11,18.48
,"Glico Pocky Chocolate Covered Biscuit Sticks, 1.41 oz.,12 pk. Qty 2 $",1,2025-10-11,19.96
,"Mars Chocolate Candy Bars, Variety Pack, Full Size, 30 pk. Qty 1 $",1,2025-10-11,25.98
,"Frito-Lay Variety Pack Chips, 30 pk. Qty 1 $",1,2025-10-31,18.48
,"Monster Energy Zero Ultra 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,38.98
,"Monster Energy Zero Ultra 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,38.98
,"Nissin Hot and Spicy Ramen Noodle Soup Bowl, Chicken Flavor, 3.32 oz., 12 Qty 1 $",1,2025-10-31,11.98
,"Nongshim Shin Ramyun Spicy Beef Ramen Noodle Soup 4.02 oz., 12 ct. Qty 2 $",1,2025-10-31,37.48
,"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct. Qty 2 $",1,2025-10-31,74.48
,"Mott's Assorted Fruit Flavored Snacks, 0.8 oz., 90 pk. Qty 1 $",1,2025-10-31,11.98
,"Nissin Hot and Spicy Ramen Noodle Soup Bowl, Chicken Flavor, 3.32 oz., 12 Qty 1 $",1,2025-10-31,11.98
,"Nongshim Shin Ramyun Spicy Beef Ramen Noodle Soup 4.02 oz., 12 ct. Qty 2 $",1,2025-10-31,37.48
,"Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct. Qty 2 $",1,2025-10-31,21.96
,"Mott's Natural Applesauce, 36 ct. Qty 1 $",1,2025-10-31,23.56
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,12.11
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,12.11
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,12.11
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,12.11
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,12.11
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,12.11
,"Pure Leaf Real Brewed Tea Unsweetened Black Tea 16.9 fl. oz., 18 pk. Qty 1 $",1,2025-10-31,16.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 2 $",1,2025-10-31,47.96
,"Celsius Sparkling Core Variety Pack, 12 fl. oz., 18 pk. Qty 1 $",1,2025-10-31,71.94
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 2 $",1,2025-10-31,47.96
,"Red Bull Energy 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,34.98
,"Monster Energy Original 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,38.98
,"Sparkling Ice Blue Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-31,11.68
,"Vita Coco Coconut Water 11.1 fl. oz., 18 pk. Qty 1 $",1,2025-10-31,21.98
,"Pop-Tarts Frosted Variety Pack, 48 ct. Qty 1 $",1,2025-10-31,9.98
,"Nongshim Shin Ramyun Spicy Beef Ramen Noodle Soup 4.02 oz., 12 ct. Qty 2 $",1,2025-10-31,37.48
,"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct. Qty 2 $",1,2025-10-31,74.48
,"Nature's Garden Trail Mix Snack Packs, 1.2 oz., 24 pk. Qty 2 $",1,2025-10-31,21.96
,"Quest Protein Bar Variety Pack, Gluten Free, 14 ct. Qty 1 $",1,2025-10-31,24.98
,"Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct. Qty 2 $",1,2025-10-31,21.96
,"Mott's Natural Applesauce, 36 ct. Qty 1 $",1,2025-10-31,23.56
,"Pop-Tarts Frosted Variety Pack, 48 ct. Qty 4 $",1,2025-10-31,39.92
,"CLIF BAR Plant Based Energy Protein Bars, Variety Pack, 20 pk. Qty 4 $",1,2025-10-31,75.92
,"Glico Pocky Chocolate Covered Biscuit Sticks, 1.41 oz.,12 pk. Qty 10 $",1,2025-10-31,99.8
,"Celsius Sparkling Core Variety Pack, 12 fl. oz., 18 pk. Qty 3 $",1,2025-10-31,71.94
,"HERSHEY'S Variety Pack, Milk Chocolate Candy, 30 pk. Qty 1 $",1,2025-10-31,23.98
,"Mars Chocolate Candy Bars, Variety Pack, Full Size, 30 pk. Qty 1 $",1,2025-10-31,25.98
,"Nabisco Classic Mix Cookie & Cracker, Variety Pack, 40 pk. Qty 2 $",1,2025-10-31,25.96
,"Nongshim Shin Ramyun Spicy Beef Ramen Noodle Soup 4.02 oz., 12 ct. Qty 2 $",1,2025-10-16,37.48
,"Samyang Buldak Carbonara Spicy Chicken Ramen Bowl, 3.7 oz., 6 pk. Qty 2 $",1,2025-10-16,23.96
,"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct. Qty 1 $",1,2025-10-16,37.24
,"Chef Robert Irvine's FITCRUNCH High Protein Baked Bars, Variety Pack, 1.62 Qty 2 $",1,2025-10-16,39.96
,"Quest Protein Bar Variety Pack, Gluten Free, 14 ct. Qty 1 $",1,2025-10-16,24.98
,"Corn Nuts Ranch Crunchy Corn Kernels, 1.7 oz., 18 pk. Qty 1 $",1,2025-10-16,9.98
,"Nature's Garden Trail Mix Snack Packs, 1.2 oz., 24 pk. Qty 1 $",1,2025-10-16,10.98
,"Nissin Cup Noodles, Chicken Flavor 2.25 oz., 24 ct. Qty 2 $",1,2025-10-16,21.96
,"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct. Qty 1 $",1,2025-10-16,37.24
,"Nabisco Classic Mix Cookie & Cracker, Variety Pack, 40 pk. Qty 1 $",1,2025-10-16,12.98
,"Mott's Natural Applesauce, 36 ct. Qty 1 $",1,2025-10-16,11.78
,"Mott's Assorted Fruit Flavored Snacks, 0.8 oz., 90 pk. Qty 1 $",1,2025-10-16,11.98
,"Pure Leaf Real Brewed Tea Unsweetened Black Tea 16.9 fl. oz., 18 pk. Qty 1 $",1,2025-10-16,16.98
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,10.78
,"Mott's 100% Original Apple Juice 8 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,12.98
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,10.78
,"Nabisco Classic Mix Cookie & Cracker, Variety Pack, 40 pk. Qty 1 $",1,2025-10-16,12.98
,"Quest Soft & Chewy 15g Protein Cookie, Variety Pack, 12 ct. Qty 1 $",1,2025-10-16,20.96
,"Nonni's Almond Chocolate Biscotti, 24 ct. Qty 1 $",1,2025-10-16,11.28
,"Black Rifle Coffee Company Espresso Mocha, 11 fl. oz., 12 pk. Qty 2 $",1,2025-10-16,39.96
,"Pop-Tarts Frosted Variety Pack, 48 ct. Qty 1 $",1,2025-10-16,9.98
,"Vita Coco Coconut Water 11.1 fl. oz., 18 pk. Qty 1 $",1,2025-10-16,21.98
,"Capri Sun 100% Juice Variety Pack, 6 fl. oz. pouches, 40 pk. Qty 1 $",1,2025-10-16,13.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 3 $",1,2025-10-16,68.94
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 1 $",1,2025-10-16,20.98
,"Red Bull Energy 8.4 fl. oz., 24 pk. Qty 2 $",1,2025-10-16,69.96
,"Sparkling Ice Blue Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"Sparkling Ice Blue Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"Sparkling Ice Summer Lemonade Variety Pack, 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"Red Bull Energy Sugar-Free 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,69.96
,"Monster Energy Original 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,38.98
,"Monster Energy Zero Ultra 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,38.98
,"Red Bull Energy Sugar-Free 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,69.96
,"Frito-Lay Premiere Mix Variety Pack Chips, 30 pk. Qty 1 $",1,2025-10-16,18.48
,"Frito-Lay Variety Pack Chips, 30 pk. Qty 1 $",1,2025-10-16,18.48
,"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-16,15.98
,"HERSHEY'S Variety Pack, Milk Chocolate Candy, 30 pk. Qty 1 $",1,2025-10-16,23.98
,"Glico Pocky Chocolate Covered Biscuit Sticks, 1.41 oz.,12 pk. Qty 2 $",1,2025-10-16,19.96
,"Gold Peak Unsweetened Tea 16.9 fl. oz., 18 pk. Qty 1 $",1,2025-10-16,16.98
,"Quest Tortilla-Style 19g Protein Chips, Variety Pack, 14 ct. Qty 1 $",1,2025-10-16,24.68
,"CLIF BAR Plant Based Energy Protein Bars, Variety Pack, 20 pk. Qty 3 $",1,2025-10-16,56.94
,"Nongshim Spicy Chicken Ramen Noodle Soup Bowl 3.03 oz., 12 ct. Qty 1 $",1,2025-10-16,13.84
,"Red Bull Energy Sugar-Free 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,34.98
,"Monster Energy Zero Ultra 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,38.98
,"Red Bull Energy Sugar-Free 8.4 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,34.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 2 $",1,2025-10-08,17.98
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 3 $",1,2025-10-08,65.94
,"Celsius Live Fit Sparkling Vibe Variety Pack 12 fl. oz., 18 pk. Qty 1 $",1,2025-10-08,17.98
,"Red Bull Energy 8.4 fl. oz., 24 pk. Qty 2 $",1,2025-10-08,69.96
,"Nongshim Bowl Noodle Hot and Spicy Beef Ramen 3.03 oz., 18 ct. Qty 1 $",1,2025-10-08,18.62
,"Capri Sun Variety Pack 6 fl. oz. pouches, 40 pk. Qty 1 $",1,2025-10-08,10.48
,"Quest Protein Bar Variety Pack, Gluten Free, 14 ct. Qty 1 $",1,2025-10-08,24.98
,"Quest Tortilla Style 18-20g Protein Chip Variety Pack, Chili Lime and Nacho Qty 1 $",1,2025-10-08,24.68
,"Quest Soft & Chewy 15g Protein Cookie, Variety Pack, 12 ct. Qty 2 $",1,2025-10-08,41.92
,"RXBAR Protein Bar, Variety Pack, 1.83 oz., 14 pk. Qty 1 $",1,2025-10-08,18.68
,"IQBAR Protein Bar Variety Pack, 12 ct. Qty 1 $",1,2025-10-08,13.98
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"AriZona Green Tea with Ginseng and Honey 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,10.78
,"Pure Leaf Real Brewed Tea Sweet Tea 16.9 fl. oz., 18 pk. Qty 2 $",1,2025-10-08,33.96
,"Monster Energy Original 16 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,38.98
,"Sparkling Ice Red Variety Pack 17 fl. oz., 24 pk. Qty 1 $",1,2025-10-08,15.98
,"Pure Protein Bars Gluten Free, Chocolate Variety Pack 23 ct. Qty 1 $",1,2025-10-08,19.48
,"Jayone Roasted & Lightly Salted Seaweed, 0.17 oz., 24 pk. Qty 2 $",1,2025-10-08,15.96
,"CLIF BAR Plant Based Energy Protein Bars, Variety Pack, 20 pk. Qty 1 $",1,2025-10-08,18.98
,"Mars Chocolate Candy Bars, Variety Pack, Full Size, 30 pk. Qty 1 $",1,2025-10-08,25.98
